Golden Dragon,Chinese,4.27,01/16/26,Honey Chicken,Raleigh,NC
Iso Iso Ramen,Japanese,4.15,12/04/26,Black Ramen,Raleigh,NC
Daniel's,Italian,4.02,05/07/25,,Apex,NC
Dos Amigo's,Mexican,4.12,01/06/26,Carnitas,Boone,NC
